customerID,gender,SeniorCitizen,Age,Partner,Tenure_Months,Contract,InternetService,MonthlyCharges,TotalCharges,PaymentMethod,SignupDate,Churn
CUST-1047,Female,1,56.0,Yes,32,,No,48.0,1547.61,electronic check ,2021-09-19 00:00:00,No
CUST-1186,Female,0,34.0,,2,One year,DSL,59.46,48.54,Credit card,2020-10-04 00:00:00,No
CUST-1203,,0,63.0,,52,One year,No,18.98,922.98,electronic check ,2019-08-18 00:00:00,No
CUST-1263,male,0,38.0,No,2,,,60.96,54.86,Credit card,2019-07-29 00:00:00,No
CUST-1119,Male,1,77.0,No,22,month-to-month,DSL,81.13,1853.29,electronic check ,2020-04-08 00:00:00,Yes
CUST-1021,Female,0,46.0,,64,One year,DSL,73.17,4678.82,electronic check ,2023-09-09 00:00:00,No
CUST-1146,Female,1,29.0,Yes,19,Month-to-month,fiber optic,80.97,1515.5,electronic check ,2021-02-04 00:00:00,No
CUST-1178,Female,0,39.0,Yes,24,month-to-month,DSL,72.82,1612.84,electronic check ,2023-09-23 00:00:00,No
CUST-1083,Male,1,32.0,Yes,28,One year,fiber optic,62.75,1731.71,Mailed check,2021-10-17 00:00:00,No
CUST-1130,male,1,42.0,,44,,Fiber optic,19.82,870.0,Mailed check,2020-06-08 00:00:00,No
CUST-1159,Male,1,53.0,No,52,month-to-month,No,70.89,3724.82,Electronic check,2019-06-03 00:00:00,Yes
CUST-1127,female,0,38.0,,26,Month-to-month,fiber optic,40.36,1074.56,Credit card,2020-08-15 00:00:00,Yes
CUST-1209, Male,1,74.0,,39,Two year,Fiber optic,64.13,2589.61,Electronic check,2020-09-03 00:00:00,Yes
CUST-1221,female,0,18.0,,3,,fiber optic,48.74,198.4,Bank transfer,2020-02-21 00:00:00,No
CUST-1073,Male,1,56.0,,66,,fiber optic,46.73,3020.18,Mailed check,2020-08-13 00:00:00,Yes
CUST-1229,female,1,44.0,,24,Month-to-month,Fiber optic,62.57,1504.4,Electronic check,2022-08-31 00:00:00,Yes
CUST-1189,male,0,26.0,No,71,One year,No,67.47,4783.85,Credit card,2020-10-11 00:00:00,No
CUST-1123, Male,0,69.0,No,29,Month-to-month,fiber optic,89.54,2613.2,Credit card,2022-05-28 00:00:00,Yes
CUST-1033,Male,1,41.0,Yes,55,Two year,DSL,67.56,3694.17,electronic check ,2023-11-27 00:00:00,No
CUST-1004,male,0,27.0,Yes,59,,Fiber optic,72.86,4263.57,Electronic check,2023-10-18 00:00:00,No
CUST-1019,Male,1,55.0,No,33,month-to-month,fiber optic,58.86,1903.9,Electronic check,2022-10-11 00:00:00,Yes
CUST-1219,Male,0,46.0,,13,Two year,DSL,29.87,413.36,Credit card,2020-05-11 00:00:00,No
CUST-1213,,1,51.0,,69,Two year,No,98.87,6873.46,Mailed check,2022-09-14 00:00:00,Yes
CUST-1149,Male,1,36.0,Yes,9,,DSL,114.93,1133.57,electronic check ,2021-07-25 00:00:00,No
CUST-1224,,1,78.0,,9,month-to-month,,48.74,425.34,electronic check ,2022-08-07 00:00:00,No
CUST-1247, Male,1,54.0,,65,month-to-month,,85.44,5479.13,Credit card,2022-01-18 00:00:00,Yes
CUST-1273,,0,35.0,No,48,month-to-month,Fiber optic,70.26,3416.49,Bank transfer,2019-07-11 00:00:00,Yes
CUST-1151,Male,1,27.0,,37,One year,,20.74,715.75,electronic check ,2022-02-08 00:00:00,No
CUST-1233,male,0,50.0,,8,month-to-month,fiber optic,55.67,386.68,electronic check ,2020-11-10 00:00:00,No
CUST-1010,female,0,49.0,,5,One year,fiber optic,47.39,253.1,electronic check ,2023-10-29 00:00:00,No
CUST-1071, Male,1,65.0,No,57,,No,62.11,3581.86,Credit card,2020-09-17 00:00:00,No
CUST-1252,female,0,18.0,,49,,fiber optic,89.13,4468.39,Bank transfer,2019-04-02 00:00:00,No
CUST-1092,,1,41.0,Yes,38,Month-to-month,No,42.57,1633.89,Bank transfer,2021-01-04 00:00:00,Yes
CUST-1192,,1,65.0,,13,Two year,,39.82,547.32,Electronic check,2022-10-03 00:00:00,No
CUST-1257,female,0,34.0,,21,Two year,No,75.77,1603.34,electronic check ,2019-06-23 00:00:00,No
CUST-1298,Male,1,51.0,Yes,55,Month-to-month,Fiber optic,89.26,4960.81,Bank transfer,2023-06-29 00:00:00,No
CUST-1195,,0,52.0,Yes,10,,fiber optic,47.39,403.48,Mailed check,2019-03-16 00:00:00,No
CUST-1137,Male,1,26.0,,43,Two year,,47.44,1980.26,Bank transfer,2019-06-16 00:00:00,Yes
CUST-1260,Male,1,40.0,No,71,Month-to-month,,92.93,6577.08,Credit card,2021-04-17 00:00:00,No
CUST-1038,male,1,59.0,,15,month-to-month,DSL,55.26,804.23,electronic check ,2020-01-25 00:00:00,Yes
CUST-1201,Female,1,28.0,,37,Month-to-month,No,61.28,2233.4,Bank transfer,2021-01-22 00:00:00,No
CUST-1189,male,0,26.0,No,71,One year,No,67.47,4783.85,Credit card,2020-10-11 00:00:00,No
CUST-1251,female,0,44.0,,63,month-to-month,Fiber optic,55.93,3532.32,Bank transfer,2021-07-21 00:00:00,Yes
CUST-1112,,1,58.0,Yes,48,Month-to-month,DSL,55.62,2664.03,Credit card,2021-05-23 00:00:00,No
CUST-1183, Male,1,39.0,,31,One year,No,121.41,3735.03,electronic check ,2023-08-24 00:00:00,No
CUST-1152,female,1,44.0,Yes,34,month-to-month,No,67.23,2295.0,Bank transfer,2020-05-08 00:00:00,Yes
CUST-1191,male,0,36.0,No,31,One year,No,70.87,2209.61,Mailed check,2020-02-18 00:00:00,No
CUST-1044,,0,45.0,No,59,Month-to-month,fiber optic,97.68,5766.26,Mailed check,2022-09-05 00:00:00,Yes
CUST-1275,female,0,47.0,Yes,49,Month-to-month,,96.63,4762.84,Electronic check,2019-01-17 00:00:00,Yes
CUST-1006,Female,1,41.0,,50,,,73.89,3668.24,Bank transfer,2023-09-23 00:00:00,No
CUST-1250,male,1,58.0,,36,,,28.96,1020.24,Mailed check,2020-12-07 00:00:00,No
CUST-1075,male,0,57.0,Yes,22,One year,No,56.89,1277.81,electronic check ,2020-08-14 00:00:00,No
CUST-1000,Female,0,48.0,Yes,71,Month-to-month,,61.54,4313.75,Credit card,2019-03-07 00:00:00,No
CUST-1068,,0,63.0,No,4,Month-to-month,DSL,68.21,333.36,electronic check ,2020-08-05 00:00:00,No
CUST-1167,female,1,60.0,No,35,Month-to-month,,24.19,860.7,Bank transfer,2022-08-08 00:00:00,Yes
CUST-1218,Male,0,42.0,,17,,,65.74,1227.13,Mailed check,2023-11-16 00:00:00,No
CUST-1042,female,0,50.0,,0,Two year,Fiber optic,60.98,58.46,Bank transfer,2021-11-21 00:00:00,No
CUST-1072,,0,37.0,Yes,0,Month-to-month,Fiber optic,59.88,106.11,Electronic check,2019-11-18 00:00:00,No
CUST-1023,female,1,53.0,,41,month-to-month,,30.48,1235.64,Credit card,2019-11-14 00:00:00,Yes
CUST-1185,male,0,18.0,,37,Month-to-month,fiber optic,56.09,2087.24,electronic check ,2023-05-06 00:00:00,No
CUST-1103, Male,0,42.0,,35,,fiber optic,76.84,2692.12,Bank transfer,2022-08-22 00:00:00,No
CUST-1211,Male,0,33.0,Yes,48,month-to-month,,32.02,1525.65,electronic check ,2022-10-08 00:00:00,No
CUST-1067,Female,1,43.0,Yes,48,Two year,No,42.67,,electronic check ,2019-09-17 00:00:00,No
CUST-1025,Male,0,46.0,Yes,14,Month-to-month,Fiber optic,45.27,670.97,electronic check ,2020-05-19 00:00:00,No
CUST-1196,Female,1,20.0,Yes,4,month-to-month,No,80.15,379.86,Electronic check,2020-11-17 00:00:00,No
CUST-1175,Female,1,61.0,Yes,52,Two year,No,91.77,4742.9,Electronic check,2020-07-01 00:00:00,No
